#,Brand,Industry,Times Advertised,Unique Profiles,Decision Maker,Role,Email,Influencer1,Role,Email,Influencer2,Role,Email,Influencer3,Role,Email,Influencer4,Role,Email,Variants Merged,All Variants
11.0,Myprotein,Fitness,982.0,172.0,,,,,,,,,,,,,,,,1.0,
12.0,NYX Professional Makeup,Beauty,958.0,367.0,,,,,,,,,,,,,,,,4.0,NYX | NYX Cosmetics | NYX Cosmetics Greece | NYX Professional Makeup
13.0,Novibet,Betting and Gambling,932.0,67.0,,,,,,,,,,,,,,,,2.0,Novibet | Novibet GR
14.0,adidas,Apparel,883.0,387.0,Fay Petroulaki,"Director Brand Comms, Newsroom & Publishing Southeast Europe",,Anna Kechaidou,Brand Communications & PR Country Lead,,Konstantinos Koutroumpis,Digital Performance & Marketing Technology,,Vasiliki Tsiakpounidou,Brand Communications & PR Manager,,Erica Santa,"Manager Brand Communications, Newsroom & Publishing",,1.0,
15.0,LIDL,Retail,828.0,294.0,Charalampos Kiriakou,Head of Engagement - SoME & Influencer Marketing,,Anna Griva,Head of Media & Digital Marketing,,Paschalia Rampoti,Influencer Marketing & Brand Talkability Associate Consultant,,Ioanna Maria Lefa,Associate Consultant - Engagement Department (Greece & Cyprus),,Lila Amanatidou,Social Media Specialist,,2.0,LIDL | Lidl Hellas
16.0,Caudalie,Beauty,808.0,177.0,,,,,,,,,,,,,,,,1.0,
17.0,GymBeam,Fitness,803.0,77.0,,,,,,,,,,,,,,,,2.0,GymBeam | GymBeam.gr
18.0,MUA Makeup Academy,Beauty,773.0,352.0,,,,,,,,,,,,,,,,14.0,MUA | MUA (Make Up Academy) | MUA (Make Up Academy) Greece | MUA (Make-Up Academy) | MUA (Makeup Academy) | MUA (Makeup Academy) Greece | MUA Academy | MUA Cosmetics | MUA Greece | MUA Greece (Make Up Academy) | MUA Greece (Makeup Academy Greece) | MUA Greece (Makeup Academy) | MUA Makeup Academy | MUA Makeup Academy (MUA Greece)
19.0,YSL Beauty,Beauty,771.0,439.0,,,,,,,,,,,,,,,,13.0,YSL | YSL (Yves Saint Laurent) | YSL Beauty | YSL Beauty (Yves Saint Laurent Beauty) | YSL Beauty (Yves Saint Laurent Beauté) | YSL Beauty (Yves Saint Laurent) | YSL Beauté | Yves Saint Laurent | Yves Saint Laurent (YSL Beauty) | Yves Saint Laurent (YSL) | Yves Saint Laurent (YSL) Beauty | Yves Saint Laurent Beauty | Yves Saint Laurent Beauté
20.0,Decoro,Fashion,747.0,101.0,,,,,,,,,,,,,,,,4.0,Decoro | Decoro (Decoro.gr) | Decoro Fashion | Decoro.gr
21.0,Emmanouela Cosmetics,Beauty,698.0,178.0,,,,,,,,,,,,,,,,7.0,Emanouela Cosmetics | Emanuela Cosmetics | Emanuella Cosmetics | Emmanouela Cosmetics | Emmanuel Cosmetics | Emmanuela Cosmetics | Manuela Cosmetics
22.0,MAC Cosmetics,Beauty,683.0,283.0,Alex Nikas,Digital Commerce & Marketing Director,,,,,,,,,,,,,,5.0,M.A.C Cosmetics | MAC | MAC Cosmetics | MAC Cosmetics Greece | M·A·C Cosmetics
23.0,Dior,Fashion,676.0,323.0,Artemis Gkaragkani,Marketing Director,,Maria Leivaditi,Consumer Engagement Manager,,Magda Zygouri,Junior Product Manager,,Georgia Klenia,Product Manager Makeup,,,,,3.0,Christian Dior | Dior | Dior Beauty
24.0,DFYNE,Fashion,671.0,54.0,,,,,,,,,,,,,,,,1.0,
25.0,About You,Fashion,661.0,186.0,,,,,,,,,,,,,,,,3.0,ABOUT YOU official | About You | About You Outlet
26.0,Garnier,Beauty,658.0,225.0,,,,,,,,,,,,,,,,5.0,"Garnier | Garnier Ambre Solaire | Garnier Fructis | Garnier, L'Oréal Paris | Garnier, Maybelline"
27.0,CeraVe,Beauty,648.0,176.0,,,,,,,,,,,,,,,,1.0,
28.0,Judah Club,Fashion,640.0,63.0,,,,,,,,,,,,,,,,6.0,JUDACLUB | JUDAHCLUB | Juda | Juda Club | Judah | Judah Club
29.0,Lancôme,Beauty,607.0,223.0,,,,,,,,,,,,,,,,1.0,
30.0,Herbalife,Nutrition,567.0,93.0,,,,,,,,,,,,,,,,2.0,Herbalife | Herbalife Nutrition
31.0,Palaiopwleio Parelthon,Retail / Antiques,557.0,63.0,,,,,,,,,,,,,,,,32.0,Palaeopoleio Parelthon | Palaio-poleio Parelthon | Palaiopoleio Parelthon | Palaioppoleio Parelthon | Palaiopwleio Parellthon | Palaiopwleio Parelthon | Palaiopwleio Parelthon (parelthon.gr) | Palaiopwleio Parelthon (Παλαιοπωλείο Παρελθόν) | Palaiopwleio Parethon | Palaiopwleio Parethon.gr | Palaiopwleioparelthon | Palaipolio Parelthon | Paleopolio Parelthon | Parelthon | Parelthon (Palaiopwleio Parelthon) | Parelthon (parelthon.gr) | Parelthon (Παλαιοπωλείο παρελθόν) | Parelthon / palaiopwleio parelthon.gr | Parelthon Antique Shop | Parelthon Antiques | Parelthon.gr | Parelthon.gr (Παλαιοπωλείο παρελθόν) | palaiopwleio parelthon.gr | palaiopwleio_parelthon | Παλαιοπωλείο Parelthon.gr | Παλαιοπωλείο Παρελθόν | Παλαιοπωλείο Παρελθόν (Palaiopoleio Parelthon) | Παλαιοπωλείο Παρελθόν (Palaiopwleio Parelthon) | Παλαιοπωλείο Παρελθόν (Parelthon Antique Shop) | Παλαιοπωλείο Παρελθόν (Parelthon Antiques) | Παλαιοπωλείο Παρελθόν (Parelthon.gr) | Παλαιοπωλείο παρελθόν.gr
32.0,Plaisio,Retail,543.0,125.0,,,,,,,,,,,,,,,,2.0,Plaisio | Plaisio (Πλαίσιο)
33.0,Nike,Fashion,530.0,259.0,,,,,,,,,,,,,,,,6.0,Air Jordan | Jordan | Jordan Brand | Jordan Fashion | Nike | Nike (Jordan)
34.0,efood,Food Delivery,514.0,152.0,,,,,,,,,,,,,,,,8.0,e-food | e-food.gr | eFoodlocal | efood | efood local | efood market | efood_gr | efoodgr
35.0,Sfera 102.2,Media / Radio Broadcasting,512.0,52.0,,,,,,,,,,,,,,,,16.0,"102.2 Sfera | 102.2 Sfera Radio | 1022 Sfera | Sfera 102.2 | Sfera 102.2 (Sfera Radio) | Sfera 102.2 / Proino Sfera | Sfera 102.2 / Sfera Radio | Sfera 102.2 / SferaRadio | Sfera 102.2 Radio | Sfera 1022 | Sfera Radio | Sfera Radio 102,2 | Sfera Radio 102.2 | Sfera1022 | SferaRadio | SferaRadio 102.2"
36.0,Pame Stoixima,Gambling / Sports Betting,507.0,151.0,,,,,,,,,,,,,,,,18.0,GAME stoixima | OPAP | OPAP / Pame Stoixima | OPAP / allwyn | OPAP A.E. | OPAP A.E. (Pame Stoixima) | OPAP A.E. / Pame Stoixima | OPAP Arena | OPAP S.A. | Pame Stoixima | Pame Stoixima (OPAP A.E.) | Pame Stoixima (OPAP S.A.) | Pame Stoixima (OPAP) | Pame Stoixima / OPAP | Pamestoixima | Pamestoixima.gr | Pamestoixima.gr (OPAP S.A.) | pame stoixima.gr
37.0,Trendyol,Fashion,502.0,119.0,,,,,,,,,,,,,,,,2.0,Trendyol | Trendyol Collection
38.0,Elixir Makeup,Beauty,480.0,172.0,,,,,,,,,,,,,,,,5.0,ELIXIR | Elixir Cosmetics | Elixir Make Up | Elixir Make-up | Elixir Makeup
39.0,Apivita,Cosmetics,476.0,180.0,Marina Vasilara,Chief Digital Officer,,Vasia Gergini,Marketing Director,,,,,,,,,,,2.0,Apivita | Apivita Greece
40.0,Oroskopos.gr,Astrology,469.0,9.0,,,,,,,,,,,,,,,,6.0,Oroskopos | Oroskopos / 14724 | Oroskopos.gr | Oroskopos.gr / 14724 | Oroskopos.gr / Kostas Lefakis | Oroskopos.gr / Κώστας Λεφάκης
41.0,Vichy Laboratoires,Beauty,464.0,118.0,,,,,,,,,,,,,,,,3.0,Vichy Laboratoires | Vichy Laboratoires / Dercos | Vichy Laboratories
42.0,Benefit Cosmetics,Beauty,462.0,170.0,,,,,,,,,,,,,,,,2.0,Benefit | Benefit Cosmetics
43.0,PoliPink,Beauty,458.0,20.0,,,,,,,,,,,,,,,,8.0,Poli Pink | Poli Pink Cosmetics | Poli Pink Shop | PoliPink | Polipink (polipink.shop) | Polipink Cosmetics | Polipink Shop | Polipink.shop
44.0,Vodafone CU,Telecommunications,454.0,71.0,,,,,,,,,,,,,,,,5.0,CU | CU (Vodafone Greece) | Vodafone | Vodafone CU | Vodafone TV
45.0,Shein,E-commerce,421.0,165.0,,,,,,,,,,,,,,,,1.0,
46.0,Novasports,Broadcasting,412.0,19.0,,,,,,,,,,,,,,,,2.0,Nova Sports | Novasports
47.0,Huda Beauty,Beauty,411.0,134.0,,,,,,,,,,,,,,,,1.0,
48.0,Kingbet,Entertainment,410.0,17.0,,,,,,,,,,,,,,,,3.0,King Bet | Kingbet | Kingbet Media
49.0,Zara,Fashion,408.0,179.0,,,,,,,,,,,,,,,,1.0,
50.0,Samsung,Technology,405.0,134.0,,,,,,,,,,,,,,,,3.0,Samsung | Samsung Galaxy | Samsung Greece
51.0,Seventeen Cosmetics,Beauty,399.0,130.0,,,,,,,,,,,,,,,,2.0,Seventeen | Seventeen Cosmetics
52.0,Kiko Milano,Beauty,385.0,175.0,,,,,,,,,,,,,,,,1.0,
53.0,Freedom24,Business,384.0,23.0,,,,,,,,,,,,,,,,2.0,Freedom 24 | Freedom24
54.0,ΔΕΗ (Public Power Corporation),Energy,371.0,172.0,,,,,,,,,,,,,,,,23.0,DEH (Public Power Corporation) | DEI | DEI (Public Power Corporation S.A.) | DEI (Public Power Corporation) | DEI (ΔΕΗ) | Public Power Corporation (DEH) | Public Power Corporation (ΔΕΗ) | ΔΕΗ | ΔΕΗ (DEH - Public Power Corporation) | ΔΕΗ (DEH) | ΔΕΗ (DEI - Public Power Corporation) | ΔΕΗ (DEI / Public Power Corporation) | ΔΕΗ (DEI) | ΔΕΗ (DEI) / Public Power Corporation | ΔΕΗ (DEI/PPC) | ΔΕΗ (PPC - Public Power Corporation) | ΔΕΗ (PPC) | ΔΕΗ (Public Power Corporation S.A.) | ΔΕΗ (Public Power Corporation of Greece) | ΔΕΗ (Public Power Corporation) | ΔΕΗ (Δημόσια Επιχείρηση Ηλεκτρισμού) | ΔΕΗ Christmas Factory | ΔΕΗ Fiber
55.0,Apple,Technology,369.0,219.0,,,,,,,,,,,,,,,,5.0,Apple | Apple (iPhone) | Apple AirPods Pro | Apple Music | Apple TV+
56.0,Armani Beauty,Beauty,362.0,131.0,,,,,,,,,,,,,,,,2.0,Armani | Armani Beauty
57.0,Red Bull,Beverages,356.0,104.0,,,,,,,,,,,,,,,,1.0,
58.0,Handibrand,Fashion,353.0,4.0,,,,,,,,,,,,,,,,3.0,Handibrand | Handromania | Handromania Stores
59.0,Betarades.gr,Media,343.0,11.0,,,,,,,,,,,,,,,,3.0,Betarades | Betarades / You'll Never Pod Alone | Betarades.gr
60.0,Dust+Cream,Beauty,340.0,64.0,,,,,,,,,,,,,,,,3.0,Dust & Cream | Dust + Cream | Dust+Cream
61.0,Myikona,E-commerce,339.0,148.0,,,,,,,,,,,,,,,,4.0,Myikona | Myikona.gr | myikona Lab | myikona_lab
62.0,CarVertical,Technology,337.0,10.0,,,,,,,,,,,,,,,,2.0,CarVertical | CarVertical.com
63.0,Cheri Up Cosmetics,Beauty,336.0,94.0,,,,,,,,,,,,,,,,4.0,Cheri Up | Cheri Up Cosmetics | Cheri Up Cosmetics Official | CheriUp Cosmetics
64.0,Luigi,Fashion,332.0,118.0,,,,,,,,,,,,,,,,4.0,LUIGI STUDIO | Luigi | Luigi Official | Luigi Shoes
65.0,Kérastase,Beauty,330.0,170.0,,,,,,,,,,,,,,,,1.0,
66.0,Star Channel,Broadcasting / Media,329.0,31.0,,,,,,,,,,,,,,,,3.0,Star Channel | Star Channel Gr | Star Channel TV
67.0,Prozis,Fitness,328.0,98.0,,,,,,,,,,,,,,,,1.0,
68.0,Gucci,Fashion,320.0,187.0,,,,,,,,,,,,,,,,2.0,Gucci | Gucci Beauty
69.0,Miranta's Cakes and Pretty Little Ideas,Food,304.0,13.0,,,,,,,,,,,,,,,,7.0,Miranda's Cakes and Pretty Little Ideas | Miranda's Cakes and Pretty Little Ideas / zaxaroplastisa | Miranta's Cakes & Pretty Little Ideas | Miranta's Cakes and Pretty Little Ideas | Mirantas Cakes and Pretty Little Ideas | Mirantas' Cakes and Pretty Little Ideas | mirantas_cakes_and_pretty_little_ideas
70.0,Vichy,Beauty,301.0,113.0,,,,,,,,,,,,,,,,1.0,
71.0,Skroutz,E-commerce,296.0,79.0,,,,,,,,,,,,,,,,2.0,Skroutz | Skroutz.gr
72.0,Hiwell,Health,295.0,179.0,,,,,,,,,,,,,,,,3.0,Hiwell | Hiwell Greece | Hiwell.gr
73.0,Labora,Education,288.0,6.0,,,,,,,,,,,,,,,,3.0,LABORA (labora.gr) | Labora | labora.gr
74.0,Louis Vuitton,Fashion,288.0,141.0,,,,,,,,,,,,,,,,1.0,
75.0,more.com,Entertainment,286.0,133.0,,,,,,,,,,,,,,,,1.0,
76.0,Coca-Cola,Beverages,283.0,155.0,,,,,,,,,,,,,,,,3.0,Coca-Cola | Coca-Cola Zero | Coca-Cola Zero Sugar
77.0,Sony Music Greece,Gaming,282.0,69.0,,,,,,,,,,,,,,,,5.0,Sony | Sony (PlayStation) | Sony / PlayStation | Sony Music | Sony Music Greece
78.0,Nespresso,Food,281.0,109.0,,,,,,,,,,,,,,,,1.0,
79.0,Jasmine Dr,Beauty,278.0,72.0,,,,,,,,,,,,,,,,6.0,Jasmine | Jasmine D'or | Jasmine D.R. | Jasmine Dr | Jasmine Dr. | JasmineDR
80.0,Bubblegun,Fashion,277.0,76.0,,,,,,,,,,,,,,,,4.0,Bubblegum | Bubblegum World | Bubblegun | Bubblegun World
81.0,Gellissimo,Food,276.0,39.0,,,,,,,,,,,,,,,,3.0,Gellissimo | Gellissimo Biscoto | Gellissimo Factory
82.0,Masoutis,Retail,272.0,31.0,,,,,,,,,,,,,,,,2.0,Masoutis | Masoutis / Mascard
83.0,My market,Retail,272.0,60.0,,,,,,,,,,,,,,,,2.0,My market | My market Local
84.0,Sok FM 104.8,Entertainment,267.0,29.0,,,,,,,,,,,,,,,,9.0,SOK 104.8 | SOK 104.8 / Sok FM | SOK FM | Sok FM 104.8 | sokfm | ΣΟΚ 104.8 | ΣΟΚ 104.8 (Sok FM) | ΣΟΚ 104.8 / Sok FM | Σοκ FM 104.8
85.0,Panathinaikos FC,Sports,265.0,83.0,,,,,,,,,,,,,,,,11.0,Panathinaikos | Panathinaikos A.O. | Panathinaikos AKTOR | Panathinaikos B.C. | Panathinaikos BC | Panathinaikos BC Aktor | Panathinaikos BC Aktor / Club 1908 | Panathinaikos F.C. | Panathinaikos FC | Panathinaikos Football Club | Panathinaikos Football Club (PAO FC)
86.0,Amita Motion,Beverage,264.0,23.0,,,,,,,,,,,,,,,,1.0,
87.0,Estée Lauder,Beauty,256.0,147.0,,,,,,,,,,,,,,,,1.0,
88.0,Princess Me Jewels,Jewelry,252.0,17.0,,,,,,,,,,,,,,,,8.0,PRINCESS ME | Princess Me Jewels | PrincessMe | Princessme Jewels | Princessme.gr | Princessmejewels | princessme.jewels | princessme_jewels
89.0,Melek Gold,Beauty,241.0,2.0,,,,,,,,,,,,,,,,2.0,Melek Gold | melekgold
90.0,Key Books,Publishing,241.0,33.0,,,,,,,,,,,,,,,,6.0,KEY BOOKS / Ο ΠΛΟΥΤΟΣ ΕΙΝΑΙ ΜΕΣΑ ΣΟΥ (Book by Thanos Belalidis) | Key Books | Key Books / O Ploutos Einai Mesa Sou (The Wealth Is Within You) | Key Books / Thanos Belalidis | Key Books / Thanos Belalidis (Author) | Key Books / Thanos Belalidis (Book Author)
91.0,Frezyderm,Beauty,239.0,118.0,,,,,,,,,,,,,,,,1.0,
92.0,RaceRoms,Automotive,234.0,4.0,,,,,,,,,,,,,,,,2.0,RaceRoms | Racerooms
93.0,EuroLeague,Sports,233.0,32.0,,,,,,,,,,,,,,,,3.0,EuroLeague | EuroLeague Fantasy Challenge | Euroleague Fantasy
94.0,Spotify,Digital Media / Audio Streaming,232.0,111.0,,,,,,,,,,,,,,,,1.0,
95.0,COSMOTE,Entertainment,230.0,98.0,,,,,,,,,,,,,,,,5.0,COSMOTE | COSMOTE Insurance | COSMOTE TELEKOM | COSMOTE TV | Cosmote Sport
96.0,Astrina.gr,Astrology,220.0,10.0,,,,,,,,,,,,,,,,5.0,Astrina | Astrina / astrina.gr | Astrina.gr | Astrina.gr / Christina Stergiou | Astrina.gr / Χριστίνα Στεργίου
97.0,Kiehl's,Beauty,217.0,83.0,,,,,,,,,,,,,,,,1.0,
98.0,Olympiacos FC,Sports,216.0,98.0,,,,,,,,,,,,,,,,8.0,Olympiacos | Olympiacos B.C. | Olympiacos BC | Olympiacos F.C. | Olympiacos FC | Olympiacos Piraeus | Olympiacos Piraeus BC | Olympiacos SFP
99.0,Natura Siberica,Beauty,216.0,62.0,,,,,,,,,,,,,,,,3.0,Natura Siberica | Natura Siberica / Organic Shop | Natura Siberica Greece
100.0,Essence,Beauty,215.0,122.0,,,,,,,,,,,,,,,,3.0,Essence | Essence Cosmetics | essence.cosmetics
101.0,Fenty Beauty,Beauty,213.0,123.0,,,,,,,,,,,,,,,,4.0,FENTY | Fenty Beauty | Fenty Hair | Fenty Skin
102.0,Prada,Beauty,213.0,141.0,,,,,,,,,,,,,,,,2.0,Prada | Prada Beauty
103.0,Jumbo,Retail,213.0,137.0,,,,,,,,,,,,,,,,1.0,
104.0,Hondos Center,Beauty,212.0,138.0,,,,,,,,,,,,,,,,1.0,
105.0,Museclo,Fashion,212.0,64.0,,,,,,,,,,,,,,,,7.0,Muse | Muse Clo | Muse Clothing | Museclo | Museclo Official | Musera | museclo_official
106.0,LOBSTER,Fashion,208.0,10.0,,,,,,,,,,,,,,,,3.0,LOBSTER | LOBSTER.GR | Lobster / el mago
107.0,Kaktos Publications,Publishing,207.0,14.0,,,,,,,,,,,,,,,,5.0,Kaktos | Kaktos (Publisher) | Kaktos Publications | Kaktos Publications (for 'Ο δικαστής που αγάπησε το κακό') | Kaktos.gr
108.0,H&M,Fashion,207.0,120.0,,,,,,,,,,,,,,,,3.0,H&M | H&M (Hennes & Mauritz) | H&M Beauty
109.0,Knorr,Food,204.0,74.0,,,,,,,,,,,,,,,,2.0,Knorr | Knorr (Unilever)
110.0,Betsson,Betting / Gambling,202.0,41.0,,,,,,,,,,,,,,,,1.0,
111.0,Aegean Airlines,Airline,201.0,126.0,,,,,,,,,,,,,,,,1.0,
112.0,Rare Beauty,Beauty,201.0,103.0,,,,,,,,,,,,,,,,1.0,
113.0,Chanel,Beauty,201.0,100.0,,,,,,,,,,,,,,,,2.0,Chanel | Chanel Beauty
114.0,Giorgio Armani,Beauty,200.0,124.0,,,,,,,,,,,,,,,,4.0,Giorgio Armani | Giorgio Armani (Armani Beauty) | Giorgio Armani / Armani Beauty | Giorgio Armani Beauty
115.0,NaturesPlus,Dietary Supplements,198.0,39.0,,,,,,,,,,,,,,,,3.0,Nature's Plus | Natures Plus | NaturesPlus
116.0,AXE,Beauty,197.0,57.0,,,,,,,,,,,,,,,,2.0,AXE | AXE (Unilever)
117.0,zaxaroplastisa,Food,195.0,13.0,,,,,,,,,,,,,,,,8.0,Zaxaroplastisa (Confectionery Business) | Zaxaroplastisa (Confectionery/Bakery Service) | Zaxaroplastisa / Mirantas Cakes | zaxaroplastisa | zaxaroplastisa (Miranta's Cakes and Pretty Little Ideas) | zaxaroplastisa / Miranta's Cakes and Pretty Little Ideas | zaxaroplastisa / Mirantas Cakes and Pretty Little Ideas | zaxaroplastisa / mirantas_cakes_and_pretty_little_ideas
118.0,KORRES,Beauty,193.0,119.0,,,,,,,,,,,,,,,,1.0,
119.0,LANEIGE,Beauty,187.0,111.0,,,,,,,,,,,,,,,,1.0,
120.0,AEK FC,Sports,186.0,19.0,,,,,,,,,,,,,,,,2.0,AEK F.C. | AEK FC
121.0,PAOK FC,Sports,184.0,31.0,,,,,,,,,,,,,,,,5.0,PAOK | PAOK BC | PAOK F.C. | PAOK FC | PAOK24
122.0,IKEA,Home Furnishings,183.0,116.0,,,,,,,,,,,,,,,,1.0,
123.0,FAGE,Dairy,182.0,85.0,,,,,,,,,,,,,,,,1.0,
124.0,Wolt,Food Delivery,182.0,88.0,,,,,,,,,,,,,,,,2.0,Wolt | Wolt Greece
125.0,Naughty Dogs,Beauty,181.0,54.0,,,,,,,,,,,,,,,,3.0,Naughty Dog | Naughty Dogs | Naughtydogs
126.0,Jet2holidays,Travel,181.0,162.0,,,,,,,,,,,,,,,,3.0,Jet2 Holiday | Jet2 Holidays | Jet2holidays
127.0,Golden Smile,Dental Services,178.0,12.0,,,,,,,,,,,,,,,,5.0,GOLDEN SMILE (Δέδες Κωνσταντίνος) | GOLDENSMILE / Dr. Dedes Konstantinos | Golden Smile | Golden Smile / Konstantinos Dedes | Goldensmile
128.0,ANT1,Education,176.0,99.0,,,,,,,,,,,,,,,,10.0,"ANT1 | ANT1 Media Lab | ANT1 Media Lab / SPORT24 | ANT1 Media Lab X SPORT24 | ANT1 MediaLab | ANT1 MediaLab / SPORT24 | ANT1 Medialab x SPORT24 | ANT1 TV | ANT1+ | Ant1 MediaLab, SPORT24"
129.0,Xiaomi,Consumer Electronics,176.0,81.0,,,,,,,,,,,,,,,,1.0,
130.0,Miranta's Cakes,Food,176.0,8.0,,,,,,,,,,,,,,,,4.0,Miranta's Cakes | Mirantas Cakes | Mirantas Cakes / Zaxaroplastisa | MirantasCakes
131.0,Elabet,Betting/Gambling,175.0,18.0,,,,,,,,,,,,,,,,1.0,
132.0,Klinex,Household Cleaning Products,173.0,86.0,,,,,,,,,,,,,,,,2.0,Klinex | Klinnex
133.0,Game of Money Festival,Finance,172.0,21.0,,,,,,,,,,,,,,,,5.0,GAME OF MONEY | Game of Money Club | Game of Money Festival | Game of Money Podcast | Game of Money Podcast / Festival
134.0,Psichogios Books,Publishing,171.0,67.0,,,,,,,,,,,,,,,,6.0,Psichogios | Psichogios Books | Psichogios Books (Ψυχογιός) | Psichogios Publications | Psichogios Publications (Εκδόσεις Ψυχογιός) | Psichogiosbooks
135.0,YesStyle,Beauty,170.0,54.0,,,,,,,,,,,,,,,,1.0,
136.0,PlayStation,Gaming,170.0,48.0,,,,,,,,,,,,,,,,6.0,PlayStation | PlayStation (PS5 / EA Sports FC) | PlayStation (Sony Interactive Entertainment) | PlayStation / Ghost of Yōtei | PlayStation / Sony | PlayStation Greece
137.0,Mon Rêve Cosmetics,Beauty,170.0,88.0,,,,,,,,,,,,,,,,3.0,Mon Rev | Mon Rêve | Mon Rêve Cosmetics
138.0,Minos EMI,Music,169.0,44.0,,,,,,,,,,,,,,,,5.0,MINOS EMI / Universal Music Group | Minos EMI | Minos EMI / Universal Music | Minos EMI / Universal Music Company | Minos-EMI
139.0,La Vie en Rose,Beauty / Cosmetics,166.0,65.0,,,,,,,,,,,,,,,,2.0,La Vie En Rose (by Dimitra Katsafadou) | La Vie en Rose
140.0,Pantene,Beauty,166.0,89.0,,,,,,,,,,,,,,,,1.0,
141.0,Netflix,Entertainment,165.0,78.0,,,,,,,,,,,,,,,,1.0,
142.0,Dyson,Beauty,164.0,107.0,,,,,,,,,,,,,,,,1.0,
143.0,Masoutis Supermarkets,Retail,162.0,13.0,,,,,,,,,,,,,,,,1.0,
144.0,Puma,Apparel,162.0,83.0,,,,,,,,,,,,,,,,1.0,
145.0,myecoshop.gr,Sustainability,161.0,4.0,,,,,,,,,,,,,,,,2.0,MyEcoShop | myecoshop.gr
146.0,ghd,Beauty,161.0,116.0,,,,,,,,,,,,,,,,2.0,ghd | ghd (Good Hair Day)
147.0,McDonald's,Fast Food,159.0,102.0,,,,,,,,,,,,,,,,1.0,
